Alert1,Date1,Time1,Speed1,Alert2,Date2,Time2,Speed2
cas_hmw,06-06-2022,2023-09-10 08:08:58,53,cas_hmw,08-08-2022,2023-09-10 08:09:09,54
cas_hmw,08-06-2022,2023-09-10 06:43:47,58,cas_hmw,16-08-2022,2023-09-10 06:44:02,58
cas_hmw,02-08-2022,2023-09-10 07:57:34,57,cas_hmw,02-08-2022,2023-09-10 07:57:39,57
cas_hmw,02-08-2022,2023-09-10 07:57:39,57,cas_hmw,24-08-2022,2023-09-10 07:57:41,52
cas_hmw,02-08-2022,2023-09-10 08:26:27,51,cas_hmw,12-08-2022,2023-09-10 08:27:07,53
cas_hmw,02-08-2022,2023-09-10 08:27:36,52,cas_hmw,11-08-2022,2023-09-10 08:27:40,51
cas_hmw,03-08-2022,2023-09-10 08:30:45,58,cas_hmw,08-08-2022,2023-09-10 08:31:23,55
cas_hmw,04-08-2022,2023-09-10 08:02:50,52,cas_hmw,03-08-2022,2023-09-10 08:03:28,60
cas_hmw,05-08-2022,2023-09-10 18:24:25,58,cas_hmw,05-08-2022,2023-09-10 18:24:36,58
cas_hmw,06-08-2022,2023-09-10 15:58:43,58,cas_hmw,06-08-2022,2023-09-10 15:59:13,56
cas_hmw,06-08-2022,2023-09-10 16:04:31,58,cas_hmw,06-08-2022,2023-09-10 16:04:41,55
cas_hmw,06-08-2022,2023-09-10 16:04:41,55,cas_hmw,06-08-2022,2023-09-10 16:04:43,55
cas_hmw,06-08-2022,2023-09-10 16:04:43,55,cas_hmw,06-08-2022,2023-09-10 16:05:37,52
cas_hmw,06-08-2022,2023-09-10 16:40:16,54,cas_hmw,17-08-2022,2023-09-10 16:41:05,54
cas_hmw,08-08-2022,2023-09-10 08:31:23,55,cas_hmw,08-08-2022,2023-09-10 08:31:46,51
cas_hmw,08-08-2022,2023-09-10 08:31:46,51,cas_hmw,12-08-2022,2023-09-10 08:32:39,52
cas_hmw,08-08-2022,2023-09-10 16:41:35,56,cas_hmw,17-08-2022,2023-09-10 16:42:20,52
cas_hmw,08-08-2022,2023-09-10 18:12:50,57,cas_hmw,08-08-2022,2023-09-10 18:13:01,58
cas_hmw,08-08-2022,2023-09-10 18:23:52,58,cas_hmw,05-08-2022,2023-09-10 18:24:25,58
cas_hmw,09-08-2022,2023-09-10 07:59:47,52,cas_hmw,05-08-2022,2023-09-10 08:00:05,52
cas_hmw,11-08-2022,2023-09-10 08:27:40,51,cas_hmw,17-08-2022,2023-09-10 08:28:14,55
cas_hmw,11-08-2022,2023-09-10 08:34:49,52,cas_hmw,15-08-2022,2023-09-10 08:35:42,59
cas_hmw,12-08-2022,2023-09-10 08:27:07,53,cas_hmw,02-08-2022,2023-09-10 08:27:36,52
cas_hmw,12-08-2022,2023-09-10 08:27:36,54,cas_hmw,11-08-2022,2023-09-10 08:27:40,51
cas_hmw,12-08-2022,2023-09-10 08:31:24,55,cas_hmw,08-08-2022,2023-09-10 08:31:46,51
cas_hmw,12-08-2022,2023-09-10 08:32:39,52,cas_hmw,29-08-2022,2023-09-10 08:33:13,56
cas_hmw,12-08-2022,2023-09-10 17:40:17,51,cas_hmw,10-08-2022,2023-09-10 17:40:35,51
cas_hmw,12-08-2022,2023-09-10 17:40:19,51,cas_hmw,10-08-2022,2023-09-10 17:40:35,51
cas_hmw,12-08-2022,2023-09-10 18:17:57,51,cas_hmw,12-08-2022,2023-09-10 18:18:17,56
cas_hmw,16-08-2022,2023-09-10 06:44:02,58,cas_hmw,16-08-2022,2023-09-10 06:44:11,51
cas_hmw,16-08-2022,2023-09-10 06:49:42,52,cas_hmw,16-08-2022,2023-09-10 06:50:22,58
cas_hmw,16-08-2022,2023-09-10 16:37:57,56,cas_hmw,16-08-2022,2023-09-10 16:38:10,56
cas_hmw,16-08-2022,2023-09-10 16:38:10,56,cas_hmw,17-08-2022,2023-09-10 16:38:27,57
