count(alert),Dates
119,15-06-2022
225,16-06-2022
197,17-06-2022
113,20-06-2022
248,21-06-2022
207,23-06-2022
174,24-06-2022
272,25-06-2022
190,27-06-2022
139,28-06-2022
132,29-06-2022
205,30-06-2022
167,01-07-2022
132,02-08-2022
104,03-08-2022
156,04-08-2022
157,05-08-2022
131,08-08-2022
143,09-08-2022
146,10-08-2022
125,11-08-2022
224,12-08-2022
178,14-08-2022
188,15-08-2022
139,16-08-2022
177,17-08-2022
172,18-08-2022
195,19-08-2022
113,22-08-2022
124,23-08-2022
182,24-08-2022
88,25-08-2022
134,29-08-2022
239,31-08-2022
