Lat,Longs,Dates
12.87899,80.080324,01-06-2022
12.873356,80.077758,01-06-2022
12.87842,80.080009,02-06-2022
12.86711,80.075374,02-06-2022
12.87812,80.07992,03-06-2022
12.878971,80.079879,03-06-2022
12.875959,80.07906,06-06-2022
12.861328,80.072978,06-06-2022
12.87884,80.080917,07-06-2022
13.067776,80.248857,07-06-2022
13.067987,80.246846,08-06-2022
13.067398,80.250995,08-06-2022
13.067239,80.251894,08-06-2022
13.063695,80.250872,09-06-2022
13.06526,80.247832,09-06-2022
13.063747,80.250832,10-06-2022
13.067809,80.248438,10-06-2022
13.063306,80.247665,11-06-2022
13.064395,80.248194,11-06-2022
13.051022,80.264102,13-06-2022
13.000558,80.19497,13-06-2022
12.994085,80.185716,14-06-2022
13.069539,80.256986,14-06-2022
13.063692,80.243523,15-06-2022
13.067481,80.250502,15-06-2022
13.067523,80.254881,16-06-2022
13.029248,80.266234,16-06-2022
13.065838,80.243493,17-06-2022
12.903333,80.09411,17-06-2022
12.886036,80.082836,20-06-2022
12.879874,80.080579,20-06-2022
12.881143,80.080615,21-06-2022
12.878059,80.083425,21-06-2022
12.962658,80.14643,23-06-2022
13.067714,80.249037,23-06-2022
13.073304,80.260856,24-06-2022
13.064232,80.2675,24-06-2022
12.878227,80.08255,25-06-2022
13.064785,80.24779,25-06-2022
13.059725,80.265603,27-06-2022
13.064499,80.247835,27-06-2022
13.06697,80.268582,28-06-2022
13.064196,80.24903,28-06-2022
13.068593,80.25782,29-06-2022
13.065543,80.267395,29-06-2022
13.050096,80.264106,30-06-2022
13.063836,80.250179,30-06-2022
13.068806,80.25609,01-07-2022
13.066243,80.247866,01-07-2022
13.049622,80.088471,02-08-2022
13.063975,80.249709,02-08-2022
13.06409,80.265338,03-08-2022
13.064904,80.247809,03-08-2022
13.061694,80.247544,04-08-2022
13.064426,80.248204,04-08-2022
13.063764,80.250321,05-08-2022
13.067808,80.248305,05-08-2022
13.061719,80.246626,08-08-2022
13.072698,80.262216,08-08-2022
13.063682,80.250968,09-08-2022
13.06193,80.266117,09-08-2022
13.062704,80.263609,10-08-2022
13.061317,80.265319,10-08-2022
13.063122,80.262134,11-08-2022
13.071746,80.264382,11-08-2022
13.062292,80.245007,12-08-2022
13.073083,80.261252,12-08-2022
13.066064,80.243749,15-08-2022
13.068188,80.252602,15-08-2022
13.067469,80.25483,16-08-2022
13.069433,80.266769,16-08-2022
13.06351,80.247746,17-08-2022
13.067343,80.24792,17-08-2022
13.007454,80.259415,18-08-2022
