Lat,Longs,Dates
12.877598,80.084304,01-06-2022
12.878925,80.080781,01-06-2022
12.879598,80.080102,02-06-2022
13.050717,80.088955,02-06-2022
13.056,80.118032,04-06-2022
13.064102,80.07554,04-06-2022
13.051527,80.089552,11-06-2022
12.885789,80.080547,11-06-2022
12.878264,80.082521,14-06-2022
12.885752,80.080601,14-06-2022
12.875854,80.08373,15-06-2022
13.064061,80.24949,15-06-2022
13.061958,80.245641,16-06-2022
13.063894,80.250114,16-06-2022
13.062876,80.244685,17-06-2022
13.06417,80.24909,17-06-2022
12.890406,80.08467,20-06-2022
12.877554,80.084741,20-06-2022
12.878334,80.082329,21-06-2022
13.067681,80.249184,21-06-2022
13.067681,80.249184,21-06-2022
13.062056,80.247614,23-06-2022
13.068199,80.252614,23-06-2022
13.061882,80.24614,24-06-2022
13.070062,80.257529,24-06-2022
13.067978,80.247366,25-06-2022
13.067519,80.250004,25-06-2022
13.062956,80.24767,27-06-2022
13.064144,80.249126,27-06-2022
13.063884,80.249929,28-06-2022
13.064509,80.247955,28-06-2022
13.062756,80.244694,29-06-2022
13.069516,80.256958,29-06-2022
13.064097,80.249313,30-06-2022
13.064142,80.249317,30-06-2022
13.070175,80.257559,01-07-2022
13.067724,80.248822,01-07-2022
13.063793,80.250789,02-08-2022
13.063869,80.250106,02-08-2022
13.063174,80.247692,03-08-2022
13.067779,80.253303,03-08-2022
13.0633,80.247702,04-08-2022
13.063798,80.250091,04-08-2022
13.063737,80.250966,05-08-2022
13.064531,80.24783,05-08-2022
13.06731,80.254672,08-08-2022
13.070626,80.258177,08-08-2022
13.064255,80.24917,09-08-2022
13.072666,80.26047,09-08-2022
13.064341,80.248602,10-08-2022
13.067206,80.253724,10-08-2022
13.065168,80.243452,11-08-2022
13.063621,80.250607,11-08-2022
13.062113,80.245361,12-08-2022
12.880622,80.080912,12-08-2022
12.891129,80.084947,14-08-2022
12.878412,80.082284,14-08-2022
12.887698,80.083502,15-08-2022
13.071122,80.26505,15-08-2022
13.068866,80.267732,16-08-2022
13.064224,80.248914,16-08-2022
13.06071,80.274446,17-08-2022
13.064248,80.248852,17-08-2022
13.061782,80.247638,18-08-2022
13.063786,80.250278,18-08-2022
13.069635,80.257002,19-08-2022
13.065899,80.247857,19-08-2022
13.065218,80.273849,22-08-2022
13.064391,80.248327,22-08-2022
13.07127,80.25874,23-08-2022
13.064482,80.247822,23-08-2022
13.068668,80.256011,24-08-2022
13.064074,80.249532,24-08-2022
13.061852,80.247603,25-08-2022
12.888468,80.083994,25-08-2022
12.875835,80.082978,26-08-2022
13.06383,80.250234,26-08-2022
13.066953,80.246145,29-08-2022
13.067416,80.2536,29-08-2022
13.063703,80.250894,30-08-2022
12.878748,80.08142,30-08-2022
12.885623,80.082601,31-08-2022
13.065917,80.247777,31-08-2022
